Key,Id,English(en),Portuguese(pt),Spanish(es)
"Geology_Transforms_EditTransformMenu_SelectTransform_FaultTransform",20842280075264,"Fault Transform","Transformação Falha",
"Geology_Transforms_EditTransformMenu_SelectTransform_UnknownTransform",20843437703168,"Unknown Transform","Transformação Desconhecida",
"Geology_Transforms_EditTransformMenu_TransformOptions",20844452724736,"Transform Options","Opção de Transformação",
"Geology_Transforms_EditTransformMenu_TransformOptions_Strike",20845329334272,"Strike","Direção",
"Geology_Transforms_EditTransformMenu_TransformOptions_Dip",20846461796352,"Dip","Inclinação",
"Geology_Transforms_EditTransformMenu_TransformOptions_Plunge",20847439069184,"Plunge","Mergulho",
"Geology_Transforms_EditTransformMenu_TransformOptions_Rake",20848475062272,"Rake","Arraste",
"Geology_Transforms_EditTransformMenu_ExtraOptions",20849515249664,"Extra Options","Opção Extra",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Amplitude",20850513494016,"Amplitude","Amplitude",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Amplitude_Value",20851746619392,"Value: 25 mm","Valor: 25 mm",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Amplitude_Lower",20852749058048,"Lower","Mais baixo",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Amplitude_Higher",20853898297344,"Higher","Mais Alto",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Period",20854980427776,"Period","Período",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Period_Value",20855961894912,"Value: 50 mm","Valor: 50 mm",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Period_Lower",20857236963328,"Lower","Mais baixo",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Period_Higher",20858289733632,"Higher","Mais Alto",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Offset",20859661271040,"Offset","Desvio",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Offset_Value",20860747595776,"Value: 0 mm","Valor: 0 mm",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Offset_Lower",20862022664192,"Lower","Mais baixo",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Offset_Higher",20863138349056,"Higher","Mais Alto",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Syncline_Hinge_Colour",20864426000384,"Syncline Hinge Colour","Cor da Linha de Charneira Sinclinal",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Anticline_Hinge_Colour",20865566851072,"Anticline Hinge Colour","Cor da Linha de Charneira Anticlinal",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Slip",20866896445440,"Slip","Deslizamento",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Slip_Value",20868154736640,"Value: 25 mm","Valor: 25 mm",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Slip_Lower",20869413027840,"Lower","Mais baixo",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Slip_Higher",20870813925376,"Higher","Mais Alto",
"Geology_Transforms_EditTransformMenu_ExtraOptions_Position",20872193851392,"Position","Posição",
